ECDS,ENDS,SODS, ROA 
0.256410256410256,0.229166666666667,0.366666666666667, 11 
0.256410256410256,0.260416666666667,0.233333333333333, 19 
0.487179487179487,0.239583333333333,0.283333333333333, 6 
0.333333333333333,0.34375,0.366666666666667, 22 
0.153846153846154,0.208333333333333,0.225, 9 
0.256410256410256,0.25,0.308333333333333, 17 
0.282051282051282,0.260416666666667,0.216666666666667, 19 
0.153846153846154,0.197916666666667,0.216666666666667, 8 
0.538461538461538,0.583333333333333,0.366666666666667, 1 
0.461538461538462,0.479166666666667,0.325, 10 
0.435897435897436,0.333333333333333,0.375, 33 
0.128205128205128,0,0.125,-10 
0.076923076923077,0.15625,0.066666666666667, 22 
0.358974358974359,0.322916666666667,0.341666666666667, 7 
0.358974358974359,0.25,0.208333333333333, 8 
0.102564102564103,0,0.033333333333333,-8 
0.076923076923077,0.0625,0.066666666666667, 18 
0.307692307692308,0.322916666666667,0.125, 20 
0.282051282051282,0.229166666666667,0.208333333333333, 7 
0.358974358974359,0.5,0.241666666666667, 17 
0.538461538461538,0.25,0.2, 6 
0.384615384615385,0.25,0.266666666666667, 2 
0.153846153846154,0.1875,0.108333333333333, 12 
0.358974358974359,0.260416666666667,0.233333333333333, 17 
0.282051282051282,0.4375,0.258333333333333, 34 
0.189349112426035,0.068901909722222,0.048055555555556, 30 
